race,sex,num,Final_rank,Goal_rank,Norm_goal_rank,Point,StTime,Time,Skater ID
3,M,1,1,1,0.0625,60,0.371448213,375.02,1
3,M,2,7,15,0.9375,0,-0.8656353,368.8,15
3,M,3,2,2,0.125,40,,,2
3,M,4,16,13,0.8125,0,-1.360220959,369.68,13
3,M,5,3,3,0.1875,20,-0.449041477,381.21,3
3,M,6,10,4,0.25,0,0.105299557,375.17,4
3,M,7,9,16,1,0,,,16
3,M,8,11,5,0.3125,0,,,5
3,M,9,8,8,0.5,0,,,8
3,M,10,15,11,0.6875,0,-0.010708663,384.89,11
3,M,11,13,9,0.5625,0,,,9
3,M,12,12,7,0.4375,0,,,7
3,M,13,4,14,0.875,0,1.171588734,379.72,14
3,M,14,6,6,0.375,0,,,6
3,M,15,5,12,0.75,0,,,12
3,M,16,14,10,0.625,0,,,10
7,M,1,11,5,0.3125,0,-0.010708663,384.89,11
7,M,2,8,7,0.4375,0,,,5
7,M,3,1,1,0.0625,60,0.371448213,375.02,1
7,M,4,16,16,1,0,,,8
7,M,5,4,11,0.6875,0,-0.449041477,381.21,3
7,M,6,15,15,0.9375,0,,,22
7,M,7,6,13,0.8125,0,0.105299557,375.17,4
7,M,8,5,4,0.25,0,,,2
7,M,9,14,10,0.625,0,1.356467407,396.96,20
7,M,10,9,6,0.375,0,-1.22584578,375.7,18
7,M,11,10,12,0.75,0,-1.360220959,369.68,13
7,M,12,3,3,0.1875,20,,,16
7,M,13,13,9,0.5625,0,,,19
7,M,14,2,2,0.125,40,,,17
7,M,15,12,8,0.5,0,,,18
7,M,16,7,14,0.875,0,,,21
8,F,1,11,4,0.25,0,-0.657068929,244.27,26
8,F,2,10,14,0.875,0,,,36
8,F,3,8,8,0.5,0,1.761779743,245.36,30
8,F,4,15,6,0.375,0,,,28
8,F,5,6,15,0.9375,0,,,37
8,F,6,14,9,0.5625,0,-1.323641937,238.69,31
8,F,7,5,12,0.75,0,,,34
8,F,8,2,2,0.125,40,-1.067532613,239.47,24
8,F,9,12,5,0.3125,0,,,27
8,F,10,13,7,0.4375,0,0.17361257,243.25,29
8,F,11,1,1,0.0625,60,,,23
8,F,12,3,3,0.1875,20,0.050750023,245.36,25
8,F,13,9,10,0.625,0,,,32
8,F,14,7,13,0.8125,0,,,35
8,F,15,16,16,1,0,,,38
8,F,16,4,11,0.6875,0,,,33
9,M,1,1,1,0.066666667,60,0.371448213,375.02,1
9,M,2,4,11,0.733333333,0,-0.8656353,368.8,15
9,M,3,9,4,0.266666667,0,,,17
9,M,4,8,6,0.4,0,-0.010708663,384.89,11
9,M,5,2,2,0.133333333,40,-1.22584578,375.7,18
9,M,6,7,8,0.533333333,0,,,41
9,M,7,5,13,0.866666667,0,-1.360220959,369.68,13
9,M,8,3,3,0.2,20,-0.449041477,381.21,3
9,M,9,6,14,0.933333333,0,,,40
9,M,10,13,10,0.666666667,0,-0.296861793,378.65,44
9,M,11,14,12,0.8,0,,,45
9,M,12,11,7,0.466666667,0,-0.441704736,386.78,42
9,M,13,15,15,1,0,,,46
9,M,14,12,9,0.6,0,,,43
9,M,15,10,5,0.333333333,0,,,8
10,F,1,2,2,0.125,40,-0.585102112,245.91,47
10,F,2,8,5,0.3125,0,-1.067532613,239.47,25
10,F,3,3,3,0.1875,20,0.050750023,245.36,26
10,F,4,9,15,0.9375,0,,,34
10,F,5,7,12,0.75,0,0.17361257,243.25,30
10,F,6,,,0,0,,,28
10,F,7,6,11,0.6875,0,0.114433314,247.96,49
10,F,8,1,1,0.0625,60,-0.657068929,244.27,27
10,F,9,10,4,0.25,0,,,35
10,F,10,11,6,0.375,0,,,50
10,F,11,5,10,0.625,0,-1.323641937,238.69,32
10,F,12,12,7,0.4375,0,1.339238338,246.8,51
10,F,13,14,9,0.5625,0,-0.776434919,239.54,53
10,F,14,4,13,0.8125,0,-1.364070528,237.09,48
10,F,15,13,8,0.5,0,,,52
10,F,16,15,14,0.875,0,,,54
11,M,1,2,2,0.125,40,0.371448213,375.02,1
11,M,2,14,8,0.5,0,,,56
11,M,3,5,15,0.9375,0,-0.8656353,368.8,15
11,M,4,9,11,0.6875,0,-1.22584578,375.7,18
11,M,5,13,7,0.4375,0,,,2
11,M,6,7,10,0.625,0,-1.360220959,369.68,13
11,M,7,11,5,0.3125,0,,,40
11,M,8,6,4,0.25,0,-0.449041477,381.21,3
11,M,9,4,13,0.8125,0,-0.010708663,384.89,11
11,M,10,3,3,0.1875,20,,,41
11,M,11,1,1,0.0625,60,,,17
11,M,12,10,14,0.875,0,-0.441704736,386.78,42
11,M,13,8,12,0.75,0,,,46
11,M,14,12,6,0.375,0,,,55
11,M,15,15,9,0.5625,0,,,43
11,M,16,16,16,1,0,,,57
12,F,1,10,6,0.272727273,0,-1.067532613,239.47,25
12,F,2,1,1,0.045454545,60,-0.585102112,245.91,47
12,F,3,3,3,0.136363636,20,0.050750023,245.36,26
12,F,4,5,17,0.772727273,0,,,28
12,F,5,22,22,1,0,,,34
12,F,6,8,4,0.181818182,0,0.17361257,243.25,30
12,F,7,11,7,0.318181818,0,,,35
12,F,8,4,14,0.636363636,0,0.836870049,245.27,58
12,F,9,6,10,0.454545455,0,0.114433314,247.96,49
12,F,10,9,5,0.227272727,0,,,50
12,F,11,13,9,0.409090909,0,1.339238338,246.8,51
12,F,12,7,13,0.590909091,0,,,39
12,F,13,14,11,0.5,0,,,59
12,F,14,2,2,0.090909091,40,-0.657068929,244.27,27
12,F,15,20,20,0.909090909,0,,,64
12,F,16,21,21,0.954545455,0,,,65
12,F,17,19,19,0.863636364,0,,,29
12,F,18,17,16,0.727272727,0,,,62
12,F,19,18,18,0.818181818,0,,,63
12,F,20,16,15,0.681818182,0,,,61
12,F,21,12,8,0.363636364,0,,,54
12,F,22,15,12,0.545454545,0,,,60
14,F,1,1,1,0.045454545,60,-1.067532613,239.47,25
14,F,2,3,3,0.136363636,20,-0.585102112,245.91,47
14,F,3,7,4,0.181818182,0,0.050750023,245.36,26
14,F,4,6,19,0.863636364,0,,,34
14,F,5,5,7,0.318181818,0,0.836870049,245.27,58
14,F,6,11,8,0.363636364,0,-1.323641937,238.69,32
14,F,7,14,11,0.5,0,-0.776434919,239.54,53
14,F,8,10,12,0.545454545,0,,,35
14,F,9,15,14,0.636363636,0,1.339238338,246.8,51
14,F,10,8,10,0.454545455,0,,,50
14,F,11,9,13,0.590909091,0,,,39
14,F,12,13,9,0.409090909,0,,,59
14,F,13,22,22,1,0,,,29
14,F,14,18,17,0.772727273,0,,,64
14,F,15,19,18,0.818181818,0,,,65
14,F,16,2,2,0.090909091,40,0.17361257,243.25,30
14,F,17,4,6,0.272727273,0,0.114433314,247.96,49
14,F,18,16,15,0.681818182,0,,,66
14,F,19,20,20,0.909090909,0,,,63
14,F,20,12,5,0.227272727,0,-0.657068929,244.27,27
14,F,21,21,21,0.954545455,0,,,61
14,F,22,17,16,0.727272727,0,,,62
16,F,1,2,2,0.086956522,40,-1.067532613,239.47,25
16,F,2,3,3,0.130434783,20,0.050750023,245.36,26
16,F,3,1,1,0.043478261,60,-0.585102112,245.91,47
16,F,4,10,5,0.217391304,0,0.836870049,245.27,58
16,F,5,7,21,0.913043478,0,,,34
16,F,6,4,4,0.173913043,0,,,67
16,F,7,9,17,0.739130435,0,,,68
16,F,8,17,13,0.565217391,0,1.339238338,246.8,51
16,F,9,12,7,0.304347826,0,-1.364070528,237.09,48
16,F,10,11,6,0.260869565,0,,,35
16,F,11,6,19,0.826086957,0,,,28
16,F,12,8,9,0.391304348,0,-1.323641937,238.69,32
16,F,13,14,10,0.434782609,0,-0.348038381,246.74,52
16,F,14,19,15,0.652173913,0,,,39
16,F,15,16,12,0.52173913,0,,,50
16,F,16,18,14,0.608695652,0,,,59
16,F,17,21,20,0.869565217,0,,,70
16,F,18,23,23,1,0,,,65
16,F,19,20,18,0.782608696,0,,,29
16,F,20,22,22,0.956521739,0,,,31
16,F,21,5,16,0.695652174,0,-0.776434919,239.54,53
16,F,22,13,8,0.347826087,0,,,24
16,F,23,15,11,0.47826087,0,0.124073738,249.54,69
